149	400	6	16.19
196	13585	3	30.15
338	1361	4	27.81
241	199	14	58.75
4205	559	5	54.45
519	3153	14	173.09
2404	3371	3	37.15
12	2401	14	11.61
2293	12	31	68.41
454	4314	3	28.23
155	616	5	16.82
125	1128	3	8.28
102	1972	6	5.24
2	7794	3	9.23
16917	1414	6	102.53
8824	12	5	7.31
101	278	56	46.71
103	1512	7	9.07
279	4404	3	25
15448	2882	5	89.97
151	1978	3	13.99
2	19273	4	24.74
305	175	3	4.88
5319	101	23	132.84
1955	14	17	19.1
8926	8	3	20.96
179	128	26	72.15
1197	126	4	13.95
152	21	21	29.35
15717	101	3	10.75
38202	13185	3	72.33
1952	2197	4	46.85
17844	12	5	16.56
11383	14	3	4.38
11468	30164	4	95.28
2492	256	10	94.48
281	234	3	6.55
15689	2	8	62.18
764	2163	3	27.53
102	489	24	18.33
517	128	3	4.42
1134	494	3	20.7
120	492	4	5.81
6112	101	3	4.32
5093	12	11	19.91
148	13848	3	26.82
194	2227	3	17.45
834	172	30	245.15
135	2185	7	42.57
324	237	3	7.64
145	17911	3	28.8
109	118	34	11.02
111	865	4	7.06
107	1424	3	4.83
7600	167	6	57.31
947	14	20	7.61
349	329	3	10.4
145	214	6	7.59
7175	14	5	7.17
15647	12	3	5.43
205	944	6	34.08
176	1366	46	476.53
9788	12	4	5.09
508	164	5	16.42
17223	1075	3	44.76
166	2608	10	80.56
292	6742	3	28.48
409	105	16	22.56
10290	12	6	13.15
331	36780	3	47.5
4924	1326	4	50.79
136	304	11	31.8
106	633	9	12.99
261	3693	3	23.42
108	402	6	4.18
3434	564	9	105.03
5641	12	20	72.22
17144	12	3	6.16
3302	12	13	15.72
170	3942	4	28.58
2	14292	3	13.64
11323	14	3	4.38
118	438	11	28.58
141	276	4	4.26
117	2412	3	10.36
16253	12	3	5.43
465	14	49	23.53
1003	160	3	11
5681	4112	3	44.32
3141	12	11	9.73
124	5727	3	17.78
148	1215	3	10.86
154	412	5	12.78
37883	101	3	21.89
9608	147	3	24.22
481	331	4	18.92
39909	14	3	17.27
316	128	11	30.05
16	3194	4	22.04
319	780	4	22.88
2306	15835	3	48.5
13264	30248	3	67.83
101	3608	11	30.08
13539	11444	3	58.29
702	5610	3	33.3
12	6214	5	4.27
2060	15523	5	86.54
2035	9448	4	60.98
2547	8887	4	61.72
1198	247	4	23.69
85	1996	3	11.33
1642	14	14	8.34
277	427	4	16.15
3886	787	9	115.75
122	4170	4	22.71
148	574	5	15.26
2	17477	3	15.22
424	3864	3	27.15
4482	12	8	7.93
30901	14	3	12.89
103	1271	8	9.87
101	484	22	10.7
9134	12	4	4.68
16	199	12	21.5
7540	14	4	4.55
925	120	3	6.43
101	4535	5	8.86
1797	9874	3	42.96
4371	12	13	23.53
4335	144	4	26.56
2707	1570	8	105.6
158	2249	8	56.61
1447	304	8	66.31
17437	2	3	15.22
27897	12	3	9.58
149	107	56	96.07
152	1281	5	24.11
1164	105	10	25.55
104	16722	6	42.62
1497	2249	9	116.42
110	7254	4	23.95
4495	179	3	21.13
3502	19243	4	73.89
14741	165	3	28.9
533	172	4	12.41
1039	600	3	21.37
17323	17130	4	89.15
596	476	3	16.16
3205	102	6	9.71
27639	1642	3	51.13
402	4178	3	27.41
333	1000	3	17.31
1127	112	10	39.26
1069	683	3	22.55
45088	14	3	17.27
11009	14	6	16.35
106	868	11	26.79
5913	377	3	29.21
3831	3760	4	57.16
108	105	82	6.24
57	977	12	67.44
4220	1091	4	47.97
10741	16	6	56.69
5166	129	3	18.22
3409	3815	3	40.11
2859	8695	3	44.98
132	5267	3	18.53
503	5541	4	43.54
19307	5984	3	56.83
772	435	6	43.28
376	155	62	454.3
13036	538	3	37.79
10472	14	7	20.5
299	1372	7	54.9
12	13616	4	7.95
116	295	8	9.54
2337	2882	17	270.98
119	1988	7	34.78
1568	11374	3	43.6
1072	14	22	14.15
500	610	3	16.68
12484	14	3	4.82
975	397	3	18.43
11	267	3	14.13
8698	222	5	52.54
2	13181	3	12.99
3809	678	4	42.68
143	683	5	16.53
113	378	19	55.23
211	10092	11	143.35
2386	165	9	68.7
23911	2	3	17.43
378	126	7	15.38
473	463	3	14.49
105	1896	7	19.69
7960	870	3	37.14
134	417	7	18.92
168	469	3	6.71
641	14	57	68.36
225	85	7	7.31
226	738	4	18.82
260	826	23	205.07
295	1735	5	38.13
108	3228	3	9.23
10410	12	9	28.75
16743	14	3	6.51
12042	124	3	22.96
30825	2927	4	81.94
323	255	5	18.4
15045	167	6	68.96
2919	2199	3	35.82
883	12	22	4.63
6784	12	5	4.87
746	2147	4	38.8
175	209	4	4.98
3904	14	13	25.02
34774	102	4	30.23
298	377	9	49.83
117	550	4	5.03
16670	14	4	11.24
3833	19496	3	53.62
6025	1145	13	205
320	418	3	11.41
114	19130	5	48.68
3440	1061	7	88.36
326	6218	3	28.82
1498	117	3	7.74
135	322	4	5.13
111	615	4	4.47
109	352	8	9.14
5648	14	8	14.33
504	3615	3	27.78
508	645	3	17.38
31940	12	4	21.37
332	2061	4	31.14
4174	774	3	31.8
468	171	3	6.83
103	8795	3	9.36
102	9191	4	12.28
3995	15710	9	191.78
592	615	3	17.71
115	4926	5	29.34
138	21188	3	29.1
102	10609	3	8.64
144	6952	4	31.05
404	195	3	7.32
3359	105	3	6.81
3173	318	6	56.38
237	2769	4	29.94
143	346	8	21.83
171	274	12	44.07
651	1	3	8.54
3955	262	7	68.16
6194	290	5	52.06
2066	134	4	19.41
166	395	3	5.61
164	1134	9	55.04
57	1525	15	104.62
772	460	9	73.05
15805	17303	7	171.43
6265	12	9	16.98
7289	101	3	5.37
326	576	3	13.55
124	5521	3	17.57
9	6172	3	18.31
6891	5642	3	48.12
363	109	6	4.8
625	506	8	60.93
420	24201	3	40.75
184	1516	6	37.67
660	156	6	24
7730	12	6	9.08
102	4280	6	13.11
634	943	9	83.45
128	622	3	5.29
28102	14	3	10.77
103	720	9	5.32
1302	12	17	5.52
103	3078	7	17.45
128	454	8	23.08
103	344	21	12.35
102	228	73	74.91
104	623	12	13.57
1338	111	4	10
956	367	3	17.6
4060	9	5	30.85
15299	14	3	5.87
120	225	6	3.98
492	429	3	14.41
557	2321	9	97.5
1415	12	38	61.93
399	101	135	432.57
23263	9	4	41.45
719	396	3	16.4
584	1649	3	23.99
42516	223	3	44.3
2308	25154	4	74.99
2401	2764	4	50.29
1360	4252	4	49.6
1922	102	10	16.3
101	2915	8	13.76
1746	1386	5	55.1
223	709	5	24.94
3543	120	3	13.87
389	2658	3	24.09
18770	12	5	16.56
8246	102	5	16.54
101	7228	4	9.27
3573	30735	3	58.15
102	5864	3	4.76
103	1246	10	15.55
1208	121	8	36.02
101	506	23	14.1
101	2237	15	36.03
285	421	13	83.06
8921	169	9	100.67
1960	171	3	15.35
6793	106	3	12.06
242	246	4	9.79
814	101	23	31.51
124	134	103	412.38
110	804	7	17.81
166	12	184	33.96
12878	102	10	64.87
6579	12	5	4.56
17	119	4	9.47
3236	14	10	10.63
297	3857	3	24.75
113	2775	9	50.12
267	615	3	12.43
17460	12275	6	136.5
1453	314	3	19.05
6599	102	3	5.35
810	6769	5	64.79
502	111	5	5.76
113	4393	23	207.31
113	6841	3	15.97
469	327	9	56.22
143	924	3	8.92
145	171	6	4.16
743	3725	5	56.52
16443	14	3	6.51
4288	1140	3	34.39
510	102	18	8.7
7799	856	3	36.99
445	132	6	14.92
4733	1050	3	34.55
105	2438	3	5.16
112	1199	3	5.5
106	460	10	10.68
7682	165	3	23.92
1069	139	3	9.28
5481	237	3	25.37
6542	17157	4	78.26
232	1	5	7.96
140	470	7	20.99
335	2222	3	22.01
119	2466	7	37.64
19642	12	3	7.04
174	2392	4	24.88
335	488	7	41.2
877	1134	5	46.09
1039	190	3	12.94
1282	1731	3	29.37
256	158	20	84.82
106	612	18	46.21
7086	102	3	5.79
1048	559	10	94.32
671	4706	3	31.66
886	1219	17	203.83
1202	408	3	19.73
9	991	3	7.21
1562	18564	4	65.73
3911	4651	4	59.41
998	101	15	15.64
2016	12	15	10.47
131	2681	3	14.12
103	3270	4	6.51
2	3890	7	22.35
103	5746	3	6.62
4950	519	15	206.31
85	22284	3	28.84
102	5405	3	4.26
6711	1293	3	38.33
38798	31165	3	80.73
1721	12	20	17.64
130	362	6	12.2
2708	194	13	120.77
156	1029	21	157.34
424	1462	4	30.55
2980	1802	3	34.69
243	6487	7	75.45
8986	290	4	43.45
306	495	4	18.56
1261	158	3	11.95
18493	148	3	29.12
14969	14	3	5.87
1233	12	22	12.28
121	146	13	8.63
356	302	4	15.48
6618	1091	3	37.38
281	1047	3	16.27
2	2999	17	75.74
4881	600	3	31.09
9129	894	3	38.41
158	3390	4	26.02
2194	2207	5	62.13
101	4092	4	4.77
7405	12	10	24.83
101	1717	10	12.38
6381	101	3	4.51
1088	1083	5	47.9
102	4521	5	9.96
27920	14	4	18.14
152	147	12	16.58
4362	14	8	10.07
215	2556	3	19.39
1186	9050	14	246.28
