122	1231	33	183.89
3335	104	11	22.41
2501	112	6	12.75
1476	106	15	19.94
3521	110	7	19.43
391	171	20	106.15
2292	101	41	94.62
3315	14	8	7.01
105	3208	21	69.76
9227	102	3	4.54
312	2900	8	74.66
101	309	106	39.57
102	5448	7	12.81
1434	187	4	20.36
5589	14	6	8.4
1372	148	4	15.75
5970	115	3	8.83
172	11726	5	52.23
387	4348	4	37.51
104	3864	11	25.96
7336	12	8	16.66
102	3616	14	30.82
101	1015	63	90.81
23170	104	3	13.71
108	31866	3	21.21
1448	105	10	5.55
137	9233	5	42.62
423	8134	5	58.34
121	1136	10	27.43
303	2152	8	68.47
109	12793	3	12.84
6343	103	12	43.62
131	20102	3	28.48
394	5210	4	39.57
10359	103	9	40.55
8317	101	12	36.23
16822	104	3	10.73
201	27701	3	39.86
109	11609	13	103.76
123	209	137	620.04
57	947	9	20.13
214	168	12	33.66
112	14713	6	40.99
153	725	3	6.99
14690	101	3	4.8
245	406	21	135.35
1774	106	19	39
9793	107	5	18.33
2022	7034	8	125.53
7873	12	5	6.76
3988	14	16	39.62
105	2561	17	40.66
108	29510	3	21.21
102	2933	20	48.82
7853	105	5	12.84
129	2835	3	11.19
311	1573	3	17.92
160	131	27	55.4
12	2065	23	29.77
104	580	101	275.98
103	950	63	164.01
101	1445	23	11.41
283	1192	3	15.55
101	4143	15	24.52
8712	101	14	49.95
729	1307	6	52.86
26659	103	4	23.31
105	855	18	10.72
9300	107	7	30.17
103	6807	4	6.24
1979	106	8	6.73
513	2884	3	25.16
19405	8	7	83.29
14639	101	5	13.38
121	489	32	105.86
57	121	425	1040.47
122	734	36	168.25
12	18683	3	7.74
109	13444	7	46
108	13816	6	34.89
780	103	17	4.77
121	2218	12	53.66
2827	101	65	273.68
108	9846	3	9.88
113	8666	3	11.11
395	233	10	48.01
3587	128	6	31.32
106	4151	4	4.24
3830	112	5	13.33
2808	110	8	20.41
14705	14	3	7.25
110	2602	4	4.94
111	2215	36	195.25
228	1902	5	33.05
137	3306	3	14.39
6803	12	17	61.19
4759	104	6	10.23
322	236	13	62.88
25645	113	3	21.6
113	723	13	17.43
106	1654	13	16.64
1120	2	4	4.59
19848	12	4	14.49
470	160	5	13.51
110	5074	3	6.16
8270	14	5	9.85
3172	120	4	11.74
1254	2751	3	30.42
101	16305	3	5.98
5786	101	7	7.14
4763	14	7	9.37
1793	113	6	9.53
2820	107	9	16.92
4037	101	9	6.65
172	6356	6	54.73
3017	14	11	13.14
109	23407	3	18.4
118	7354	6	33.88
103	8381	3	4.57
5123	104	5	7.74
2571	2912	6	79.7
119	1318	8	18.52
4386	115	3	6.75
117	593	37	125.85
2338	364	5	41.08
309	8420	4	42.2
469	770	9	68.63
3630	120	5	18.19
108	5664	6	19.42
259	6980	4	38.26
379	1195	24	241.96
107	7882	5	15.44
5103	14	5	4.78
109	3666	6	15.03
110	2801	10	29.52
109	2073	23	89.77
11215	3559	3	47.96
108	1685	36	146.57
10442	114	4	19.65
22106	10334	4	88.47
113	5343	4	12.37
101	27894	3	12.29
2454	110	4	4.5
5519	3248	4	58.19
109	7088	17	113.77
9264	14	3	3.94
12337	103	7	30.46
229	12	222	241.82
110	1519	40	178.05
4617	14	5	3.98
5636	101	14	31.64
372	177	4	9.07
938	1867	34	472.07
114	5711	3	8.25
1003	130	3	5.9
8416	115	7	39.14
12	11315	3	4.06
832	19343	6	102.28
12555	24074	3	66.94
101	15147	3	5.35
101	13165	3	4.32
233	105	53	11.13
3300	101	16	20.17
4284	107	4	5.38
11320	12	4	7.5
108	33574	3	25.68
143	1509	7	35.25
12	15184	4	10.91
2342	766	3	26.31
462	12	145	260.82
3528	102	7	6.75
9828	101	4	4.59
6629	106	5	11.94
7008	211	9	99.11
2299	107	34	139.68
226	1304	3	14.36
321	789	11	79.27
1507	11293	13	238.87
57	16366	3	20.82
195	1176	9	57.57
109	663	94	411.05
3672	120	9	43.7
322	7293	3	28.95
1047	122	4	5.21
133	5717	12	106.13
104	27563	3	17.42
738	24307	4	66.02
106	6861	3	4.77
3500	101	17	25.41
442	105	58	74.31
124	8843	10	82.73
8414	102	6	15.32
108	12056	6	32.46
11479	12	4	7.5
489	463	6	35.07
2116	105	8	6.12
124	5459	8	50.02
4199	505	3	27.75
3718	107	5	7.11
127	1107	8	25.62
